"synsetid","sampleid","sample"
"100002684","1","it was full of rackets\, balls and other objects"
"100003553","1","how big is that part compared to the whole?"
"100003553","2","the team is a unit"
"100003993","1","lard was also used\, though its congener\, butter\, was more frequently employed"
"100003993","2","the American shopkeeper differs from his European congener"
"100006269","1","the oceans are teeming with life"
"100007846","1","there was too much for one person to do"
"100019613","1","DNA is the substance of our genes"
"100020090","1","shigella is one of the most toxic substances known to man"
"100020827","1","physicists study both the nature of matter and the forces which govern it"
"100022903","1","an article of clothing"
"100023773","1","we did not understand his motivation"
"100023773","2","he acted with the best of motives"
"100024720","1","the current state of knowledge"
"100024720","2","his state of health"
"100024720","3","in a weak financial state"
"100026192","1","she had a feeling of euphoria"
"100026192","2","he had terrible feelings of guilt"
"100026192","3","I disliked him and the feeling was mutual"
"100027807","1","geometry is the mathematical science of shape"
"100028651","1","they tested his ability to locate objects in space"
"100028651","2","the boundless regions of the infinite"
"100029114","1","a multidimensional phase space"
"100029677","1","events now in process"
"100029677","2","the process of calcification begins later for boys than for girls"
"100034479","1","how could you do such a thing?"
"100034939","1","I wasted a year of my life working on an abort"
"100034939","2","he sent a short message requesting an abort due to extreme winds in the area"
"100035891","1","his behavior alienated the other students"
"100036061","1","the application of maximum thrust"
"100036061","2","massage has far-reaching medical applications"
"100036061","3","the application of indexes to tables of data"
"100036299","1","the town became a beachhead in the campaign to ban smoking outdoors"
"100036299","2","they are presently attempting to gain a foothold in the Russian market"
"100036580","1","winning the tournament was a cakewalk for him"
"100036580","2","invading Iraq won't be a cakewalk"
"100036762","1","he performed a great feat"
"100036762","2","the book was her finest effort"
"100037200","1","she already had several performances to her credit"
"100037396","1","there were stories of murders and other unnatural actions"
"100038262","1","if you persist in that course you will surely fail"
"100038262","2","once a nation is embarked on a course of action it becomes extremely difficult for any retraction to take place"
"100038573","1","all the clues led the police into blind alleys"
"100038573","2","so far every road that we've been down has turned out to be a blind alley"
"100039297","1","they kept in daily contact"
"100039297","2","they claimed that they had been in contact with extraterrestrial beings"
"100039545","1","I had a brush with danger on my way to work"
"100039545","2","he tried to avoid any brushes with the police"
"100039740","1","a teacher should make eye contact with the students"
"100039990","1","the agency provided placement services"
"100040545","1","the cross-fertilization of science and the creative arts"
"100040962","1","international relations"
"100041899","1","I envied his talent for acquiring"
"100041899","2","he's much more interested in the getting than in the giving"
"100043902","1","he came all the way around on Williams' hit"
"100045646","1","he singled to start a rally in the 9th inning"
"100045646","2","he feared the rallying of their troops for a counterattack"
"100046522","1","at his touch the room filled with lights"
"100047106","1","they admired his performance under stress"
"100047106","2","when Roger Maris powered four home runs in one game his performance merits awe"
"100047745","1","the lawyer has a good record"
"100047745","2","the track record shows that he will be a good president"
"100048051","1","persuading him was easy going"
"100048051","2","the proposal faces tough sledding"
"100048374","1","they awaited her arrival"
"100048656","1","his attainment of puberty was delayed by malnutrition"
"100048828","1","the advent of the computer"
"100049003","1","she made a grand entrance"
"100049344","1","the incursion of television into the American living room"
"100049636","1","the recent irruption of bad manners"
"100049789","1","she made a graceful entree into the ballroom"
"100050195","1","the rookie made a brief appearance in the first period"
"100050195","2","it was Bernhardt's last appearance in America"
"100050484","1","natives were amazed at the apparition of this white stranger"
"100050887","1","his reappearance as Hamlet has been long awaited"
"100051192","1","on his return from Australia we gave him a welcoming party"
"100051525","1","the penetration of upper management by women"
"100052500","1","the plane made a smooth landing"
"100052500","2","his landing on his feet was catlike"
"100053097","1","he disliked long farewells"
"100053097","2","he took his leave"
"100053097","3","parting is such sweet sorrow"
