"1","Jackie accompanied Rose"
"2","Jackie accompanied Rose to the store"
"3","The tourists admired the paintings"
"4","I admired him for his honesty"
"5","I admired the honesty in him"
"6","The children liked that the clown had a red nose"
"7","I loved writing"
"8","I loved him writing novels"
"9","I loved to write"
"10","She admitted us"
"11","She admitted us here"
"12","She allowed us near the house"
"13","Soon\, the new President will assume office"
"14","Ellen alerted Helen"
"15","Ellen warned Helen against skating on thin ice"
"16","Ellen warned Helen that the party would be tonight"
"17","Ellen warned Helen how to avoid the crowd"
"18","Ellen warned Helen\, 'Avoid that hole in the sidewalk.'"
"19","My accountant warned me of the new loopholes in the tax code"
"20","Ellen warned against skating on thin ice"
"21","Ellen warned that the party would be tonight"
"22","Ellen warned how to avoid the crowd"
"23","Ellen warned\, 'Avoid that hole in the sidewalk.'"
"24","They allow birds"
"25","They allow smoking"
"26","They allow us to be smokers"
"27","They allow our smoking"
"28","They allow that we smoke"
"29","Folk songs alternate well with pop songs"
"30","The pieces interconnect easily"
"31","Diabetics can now incorporate sugar into their desserts"
"32","A new firm will integrate their ice cream production lines"
"33","Ice cream integrates with desserts"
"34","The yolks and the whites intermingled"
"35","The merger associated company A with company B"
"36","The merger associated the two companies"
"37","Company A associated with Company B"
"38","Plays and ballets alternate"
"39","John opposed the two ideas"
"40","John introduced Mary to me"
"41","John and Mary married"
"42","John and Mary are engaged"
"43","The clown amused the children"
"44","Little children amuse easily"
"45","That joke never fails to amuse"
"46","The clown amused the children with his antics"
"47","The clown's antics amused the children"
"48","That movie bored me silly"
"49","The dog barked"
"50","The dog barked at the cat"
"51","The dog barked at the commotion"
"52","The dog barked a warning"
"53","The rooster crowed everyone awake"
"54","Birds sang in the trees"
"55","The tree sang with birds"
"56","This painting appeals to Malinda"
"57","The irritation niggled at Melinda"
"58","The music grates on me"
"59","Stuff matters"
"60","A ship appeared"
"61","A ship appeared on the horizon"
"62","There appeared a ship on the horizon"
"63","On the horizon appeared a large ship"
"64","It appeared there"
"65","We elected him governor"
"66","We elected him as governor"
"67","We elected Alan to be our new governor"
"68","They elected John"
"69","I accept how you do it"
"70","I accepted it"
"71","I accepted their writing novels"
"72","I accepted that they wrote novels"
"73","I accepted what they were doing"
"74","The inspector analyzed the building"
"75","The inspector analyzed the building for its soundness"
"76","The inspector analyzed the building's soundness"
"77","The dog flopped"
"78","The dog flopped in the corner"
"79","We avoided the area"
"80","We avoided the ball"
"81","He avoided going to the area"
"82","He avoided his nagging"
"83","The king banished the general"
"84","The king banished the general from the army"
"85","The king deported the general to the isle"
"86","I battled with him about whether he should kill the peasants"
"87","I battled with him about whether he should go"
"88","I battled with him about what to do"
"89","I battled with him about whether to go"
"90","I battled with him about it"
"91","They battled"
"92","They battled about his coming"
"93","They battled about whether he should go"
"94","They battled about what was the right thing"
"95","They battled about whether to go"
"96","They battled about what to do"
"97","They battled about it"
"98","He began to pack"
"99","John began going to the area"
"100","The storm began"
"101","John started the party"
"102","The party began with a bang"
"103","I began the party with a speech"
"104","We began the campaign by soliciting donations"
"105","A murder began the book"
"106","She was always clad in black"
"107","Tony bent the rock"
"108","Tony bent the rock with pliers"
"109","The rod bent"
"110","Copper rods bend easily"
"111","The pliers bent the rod"
"112","Tony folded the flaps open"
"113","Tony bent the rod into a U"
"114","Tony bent the rod into a U with pliers"
"115","The children berry in the summer"
"116","The phone company billed me"
"117","The phone company billed me $10"
"118","The phone company billed me $10 for that phone call"
"119","Sylvia fidgeted"
"120","Sylvia fidgeted herself into a tizzy"
"121","Sharon shivered"
"122","Sharon shivered from fear"
"123","Sharon shivered at the thought of the cold sea"
"124","Celia brushed the baby's hair"
"125","Celia brushed her hair"
"126","Paul breathed"
"127","Paul breathed on Mary"
"128","The dragon breathed fire"
"129","The dragon breathed fire on Mary"
"130","Paul breathed a deep breath"
"131","Nora brought the book"
"132","Nora brought the book to the meeting"
"133","Nora brought to lunch the book"
"134","Nora brought the book from home"
"135","Nora brought the book from home to the meeting"
"136","The train brought us here"
"137","Nora brought Pamela the book"
"138","Nora brought us together"
"139","Martha carves toys"
"140","Martha carves"
"141","Martha carved a toy out of a piece of wood"
"142","Martha carved the piece of wood into a toy"
"143","Martha carved a toy for the baby"
"144","Martha carved the baby a toy out of a piece of wood"
"145","Martha carved a toy out of a piece of wood for the baby"
"146","Martha carved a piece of wood for the baby"
"147","Martha carved a piece of wood into a toy for the baby"
"148","This wood carved beautiful toys"
"149","The contractor will build you a house for $100\,000"
"150","Martha will carve a toy out of a piece of wood for $50"
"151","The contractor builds houses for $100\,000"
"152","$100\,000 builds a house"
"153","$100\,000 will build you a house"
"154","$100\,000 builds a house out of sticks"
"155","$100\,000 builds you a house out of sticks"
"156","The bag is bulging with groceries"
"157","The bag is bulging"
"158","The grocery cart hit against the wall"
"159","The grocery carts thudded together"
"160","Lora buttered the toast"
"161","Lora buttered the toast with unsalted butter"
"162","The price of oil soared"
"163","Oil soared in price"
"164","The price of oil increased ten percent"
"165","The price of oil increased by ten percent"
"166","Oils's price increased ten percent"
"167","Oils's price increased by ten percent"
"168","Imports have declined"
"169","Nonperforming assets at these banks declined by %15"
"170","Oil's price soared"
"171","The cat kittened"
"172","Her cousin clerked for Judge Davis"
"173","Miriam tutored her brother"
"174","The show starred Miriam"
"175","He doesn't care"
"176","He doesn't care that she comes"
"177","He doesn't care whether she comes"
"178","He doesn't care about what he should do"
"179","I don't care what he does"
"180","He doesn't care about how/whether she comes"
"181","Amanda carried the package"
"182","Amanda carried the package to New York"
"183","Amanda carried the package from home"
"184","Amanda carried the package from home to New York"
"185","Amanda carried the package to New York from home"
"186","Amanda shoved the box"
"187","Amanda shoved the box from the corner"
"188","Amanda shoved the box to John"
"189","Amanda shoved the box from the corner to John"
"190","Amanda shoved the box to John from the corner"
"191","Amanda shoved John the box"
"192","Carol crushed the ice"
"193","Carol carved the stone"
"194","Carol carved the stone with a chisel"
"195","Marble carves easily"
"196","That chisel carved the statue"
"197","That chisel carves well"
"198","Sharon fainted"
"199","Sharon fainted from hunger"
"200","Sharon fainted at the sight of the accident"
"201","He characterized him as being smart"
"202","He characterized him to be smart"
"203","He characterized him as smart"
"204","He described how he could rise to high office"
"205","He described how to do it"
"206","He described going to work"
"207","He described what we should do"
"208","He described what to do"
"209","He revealed the children found"
"210","He revealed if we should come"
"211","He revealed what he should do"
"212","He revealed what to do"
"213","Jackie chased the thief"
"214","Jackie chased the thief down the street"
"215","Jackie chased after the thief"
"216","The doctor cured Pat of pneumonia"
"217","The swindler cheated Pat out of her fortune"
"218","The doctor cured Pat"
"219","The swindler bilked 20 dollars from his boss"
"220","Studies exonerated program trading as a source of volatility"
"221","Cynthia nibbled the carrot"
"222","Cynthia nibbled"
"223","Cynthia nibbled at the carrot"
"224","Cynthia nibbled on the carrot"
"225","Cynthia sipped the drink"
"226","Cynthia sipped"
"227","Cynthia sipped from the drink"
"228","Susan was chitchatting"
"229","Susan chitchatted with Rachel"
"230","Susan chitchatted with Rachel about the problem"
"231","Susan and Rachel chitchatted"
"232","Susan chitchatted about the problem with Rachel"
"233","Susan and Rachel chitchatted about matters of great import"
"234","Susan chitchatted about matters of great import"
"235","The strong winds cleared the sky"
"236","The sky cleared"
"237","Doug cleaned the dishes from the table"
"238","Clouds cleared from the sky"
"239","Doug cleaned the table of dishes"
"240","The child clung to her mother"
"241","The child and her mother clung together"
"242","Cora coiled the rope around the post"
"243","The rope coiled around the post"
"244","That type of rope coils easily around the post"
"245","The rope curled upward"
"246","Claire colors the picture"
"247","Claire colors the picture red"
"248","Claire painted the wall into a splotchy mess"
"249","Susan complained"
"250","Susan complained to Rachel"
"251","Susan complained that the party would be tonight"
"252","Susan complained to Rachel that the party would be tonight"
"253","Ellen complained about the situation"
"254","Ellen complained about the situation to Helen"
"255","Ellen complained\, 'The mail didn't come today.'"
"256","Ellen complained to Helen\, 'The mail didn't come today.'"
"257","The prime minister complained to the former president about U.S. interference in his country's affairs"
"258","Wilma completed the assignment"
"259","She quit smoking"
"260","Frances hid the presents from Sally"
"261","Frances hid the presents behind the books in the drawer"
"262","Frances hid the presents"
"263","The children hid"
"264","The children hid from Sally"
"265","The children hid in the chimney"
"266","He confessed how she did it"
"267","I admitted him to be a great smoker"
"268","He confessed himself flummoxed"
"269","They confessed stealing the money"
"270","They confessed it"
"271","They confessed it to us"
"272","They confessed their stealing"
"273","They confessed to us"
"274","They confessed to us how it happened"
"275","They confessed that they had stolen"
"276","We committed John"
"277","We committed John to prison"
"278","He felt the choice to be a bad one"
"279","The populace feel that the RIAA has too much power"
"280","He denied the horrid woman's statement"
"281","He asserts himself to be the world's foremost authority"
"282","The prisoner admitted that he may have been in the area"
"283","The prisoner admitted his guilt"
"284","I considered how he could become professor"
"285","I considered how to be a professor"
"286","They considered him as being stupid"
"287","They considered him to be the professor"
